frequency_hz,frequency_rad,closed_loop_gain_db,closed_loop_phase_deg,sensitivity_gain_db,sensitivity_phase_deg,coherence
0.1,0.6283185307179586,-0.012375063047817348,-3.528440602650624,-46.51639182109199,-93.61591013574758,0.999999890931155
0.12389903709420907,0.778480609444033,-0.01850926448819593,-4.36348931095107,-44.6721779768246,-94.48973784224998,0.9999996089854127
0.153509713928722,0.9645299790662876,-0.02769107503065572,-5.393797249657889,-42.83245432698124,-95.57768291163438,0.9999892730221709
0.19019705740376155,1.195043356548107,-0.04136721912461853,-6.662639288518143,-40.998486239550765,-96.933747816505,0.9999960953701623
0.23565232270478065,1.4806472116214202,-0.061714815479817706,-8.224412691598728,-39.171933707754505,-98.62669346825307,1.0
0.2919709587213615,1.834507637961196,-0.09172920535626325,-10.139776542753555,-37.35499022328342,-100.7436200292094,0.9999914339431056
0.3617492064504976,2.272937298853641,-0.13580938333235942,-12.488567918058594,-35.5505682162178,-103.39876732726358,0.9999901060063171
0.4482037834881091,2.8161474270347875,-0.19987316213120093,-15.357452795347454,-33.762602195189174,-106.73550736302043,0.9999635721209755
0.5553201719615808,3.4891795452494456,-0.29238104678894034,-18.856215031960186,-31.996417270016305,-110.95522858553493,0.9999647173019983
0.6880363458503046,4.323059859052166,-0.4242454345660036,-23.106369853103295,-30.26082476065442,-116.32904599562211,0.99993104592282
0.8524704073667098,5.356229538371907,-0.6125129944143238,-28.273394557078706,-28.574770729464674,-123.14470308872335,0.999878659955806
1.0562026262404351,6.636316822598395,-0.8795886223608557,-34.52572418027141,-26.976350187073322,-131.62409161184766,0.9998095498214217
1.308624883675647,8.22233264172042,-1.2579743928345308,-42.04859825683039,-25.52750903410493,-142.00666390834039,0.9997869633966686
1.6213736300493404,10.187390969774446,-1.7964602904067415,-51.032432803612956,-24.318925922866846,-154.4894223423427,0.9997527174709206
2.0088663153305575,12.622079316572952,-2.562091434860259,-61.582811598913544,-23.469203257342535,-169.02125785137974,0.9997285517991266
2.4889660212044786,15.638634734501215,-3.6539833381163014,-73.65274555940384,-23.100737162580607,174.86082384229334,0.9997370933379349
3.0838049338743967,19.376117850727525,-5.168819447603232,-86.77966123839462,-23.29159057099421,158.0192326227618,0.9997561031703933
3.8208046189340883,24.00682344329056,-7.180743485985424,-100.12105827255769,-24.033722108972878,141.4602037543944,0.9998277938907304
4.7339401321103995,29.74422308314385,-9.721821427388836,-112.53426600490705,-25.253552800862803,125.86529716037859,0.9998590819177906
5.865306240301117,36.852805991168715,-12.66907949582979,-123.04623077554845,-26.859948062015043,111.5060868457736,0.999889491304104
7.2670579543596405,45.66027176525503,-15.849360993979998,-131.48929995017315,-28.78284965479184,98.37939882267212,0.99992154191172
9.003814830529722,56.57263705175,-19.163401123311985,-138.0819596153494,-30.98737152398495,86.37350502103527,0.9997795434265749
11.155639876771923,70.09295256592004,-22.542529125042687,-143.32788169624916,-33.45159739305505,75.46400985870606,0.9997200418027042
13.821730389018025,86.84449330007564,-25.977866725647303,-147.50106486392735,-36.162036469776915,65.70081409204084,0.9999752552085572
17.124990861751012,107.59949096813864,-29.46819000211205,-150.78074899278025,-39.099912629729936,57.19850149178176,0.9994325349432936
21.2176987801808,133.31473322779422,-33.01103634376489,-153.21050374826495,-42.23487391645109,50.08857556718888,0.9974403296754644
26.288524482193758,165.17567077395066,-36.60273494622478,-154.71139261073657,-45.52859387158229,44.46907010510392,0.9900973797590021
32.57122869971347,204.65106560282575,-40.23271062217907,-155.3364877822766,-48.94724847967779,40.386554205268894,0.9982365824384346
40.35543872869771,253.56069968493952,-43.886230495452814,-154.94418325911317,-52.45145094850673,37.86496533020945,0.7995601210407944
49.99999999999999,314.15926535897927,-47.556973624866366,-153.39025446401865,-56.01294985301709,36.91755384677077,0.9539092321692766
