frequency_hz,frequency_rad,closed_loop_gain_db,closed_loop_phase_deg,sensitivity_gain_db,sensitivity_phase_deg,coherence
0.1,0.6283185307179586,-240.0,-180.0,24.029053932779,87.67932990567856,0.0
0.12389903709420907,0.778480609444033,-240.0,-180.0,22.16376767290569,87.12559438986928,0.0
0.153509713928722,0.9645299790662876,-240.0,-180.0,20.29638662552255,86.44031129796612,0.0
0.19019705740376155,1.195043356548107,-240.0,-180.0,18.425800418940014,85.59275417244612,0.0
0.23565232270478065,1.4806472116214202,-240.0,180.0,16.550315088721256,84.54547376441202,0.0
0.2919709587213615,1.834507637961196,-240.0,-180.0,14.667357088239756,83.25329258262799,0.0
0.3617492064504976,2.272937298853641,-240.0,-180.0,12.773050938227389,81.66238214697182,0.0
0.4482037834881091,2.8161474270347875,-240.0,-180.0,10.861595320288426,79.71017778052916,0.0
0.5553201719615808,3.4891795452494456,-240.0,-180.0,8.924440996417433,77.3265461481577,0.0
0.6880363458503046,4.323059859052166,-240.0,-180.0,6.949241966257601,74.43764995342026,0.0
0.8524704073667098,5.356229538371907,-240.0,-180.0,4.91873535964418,70.9742940639662,0.0
1.0562026262404351,6.636316822598395,-240.0,-180.0,2.809897579252178,66.88659807926136,0.0
1.308624883675647,8.22233264172042,-240.0,-180.0,0.5941233704840782,62.165726109028256,0.0
1.6213736300493404,10.187390969774446,-240.0,-180.0,-1.7605731963909987,56.86932441846291,0.0
2.0088663153305575,12.622079316572952,-240.0,-180.0,-4.284587850782614,51.14071556595836,0.0
2.4889660212044786,15.638634734501215,-240.0,-180.0,-6.999665501718154,45.20686262747095,0.0
3.0838049338743967,19.376117850727525,-240.0,-180.0,-9.912534506123274,39.345243339414324,0.0
3.8208046189340883,24.00682344329056,-240.0,-180.0,-13.012689006492655,33.82864668092436,0.0
4.7339401321103995,29.74422308314385,-240.0,-180.0,-16.27576470317812,28.8731478346581,0.0
5.865306240301117,36.852805991168715,-240.0,-180.0,-19.670399599463405,24.612230194611136,0.0
7.2670579543596405,45.66027176525503,-240.0,-180.0,-23.16496804289716,21.101308800599043,0.0
9.003814830529722,56.57263705175,-240.0,-180.0,-26.7319131345928,18.340118855074284,0.0
11.155639876771923,70.09295256592004,-240.0,-180.0,-30.34938626458206,16.29904030375866,0.0
13.821730389018025,86.84449330007564,-240.0,-180.0,-34.00109146319592,14.940389885796499,0.0
17.124990861751012,107.59949096813864,-240.0,-180.0,-37.67530359067888,14.23301158830488,0.0
21.2176987801808,133.31473322779422,-240.0,-180.0,-41.36368456634174,14.16161484112241,0.0
26.288524482193758,165.17567077395066,-240.0,-180.0,-45.06010804387947,14.73261833403812,0.0
32.57122869971347,204.65106560282575,-240.0,-180.0,-48.75945799146652,15.977634363977392,0.0
40.35543872869771,253.56069968493952,-240.0,-180.0,-52.457638824104826,17.95532053083849,0.0
49.99999999999999,314.15926535897927,-240.0,-180.0,-56.14995733873461,20.760008281545,0.0
