frequency_hz,frequency_rad,closed_loop_gain_db,closed_loop_phase_deg,sensitivity_gain_db,sensitivity_phase_deg,coherence
0.1,0.6283185307179586,-0.014242350048223815,-3.589577479484895,-8.515023098158316,175.73800971948475,0.9999999251088653
0.12389903709420907,0.778480609444033,-0.02153718655615265,-4.450719566171675,-8.53982351405276,174.7162688446102,0.9999996852310598
0.153509713928722,0.9645299790662876,-0.032657172840253976,-5.518658320847179,-8.57313716333119,173.44982476634848,0.9999894364281798
0.19019705740376155,1.195043356548107,-0.04962048626624646,-6.842586539284259,-8.618302698912167,171.88080099087836,0.9999964464122724
0.23565232270478065,1.4806472116214202,-0.07546858648147851,-8.482777230729885,-8.680075407055782,169.93851555912272,1.0
0.2919709587213615,1.834507637961196,-0.11489047453845645,-10.513007145229631,-8.765225522915008,167.53703579952114,0.9999929263189862
0.3617492064504976,2.272937298853641,-0.17493744783503698,-13.021043873803977,-8.883343872077743,164.5762979744574,0.9999934259783467
0.4482037834881091,2.8161474270347875,-0.2661250089121615,-16.109966952436864,-9.047971557228585,160.9386249997871,0.9999701223050933
0.5553201719615808,3.4891795452494456,-0.40377353019572604,-19.894616838269332,-9.277971696496476,156.49690538731826,0.999976431360816
0.6880363458503046,4.323059859052166,-0.610233634522118,-24.497912596644603,-9.5989270996178,151.13301087152539,0.9999501681001365
0.8524704073667098,5.356229538371907,-0.9162567123872696,-30.031652867982242,-10.043550301243645,144.7780066544348,0.9999075383052369
1.0562026262404351,6.636316822598395,-1.3612704140537852,-36.56904186173746,-10.649287570833943,137.4698796548245,0.9998480326812285
1.308624883675647,8.22233264172042,-1.9911444111879564,-44.113880077841856,-11.451608721850741,129.38948055427116,0.9998224849763168
1.6213736300493404,10.187390969774446,-2.8508526998797845,-52.56346692945275,-12.476851273067451,120.75841542358654,0.9997697525083873
2.0088663153305575,12.622079316572952,-3.971177678555342,-61.7301478158575,-13.735223721928651,111.84795918716713,0.9997132478314307
2.4889660212044786,15.638634734501215,-5.365634256822428,-71.37440118957261,-15.2236999831407,102.8576480956296,0.9996911039058085
3.0838049338743967,19.376117850727525,-7.0143323149743155,-81.3100278196766,-16.93193998211035,93.92643395875287,0.9997031890346253
3.8208046189340883,24.00682344329056,-8.890066194239084,-91.44468146039908,-18.85243722451937,85.10735402211944,0.9997947517907964
4.7339401321103995,29.74422308314385,-10.99523561962496,-101.70771805142863,-20.984606351956735,76.43736819974768,0.9998487123178695
5.865306240301117,36.852805991168715,-13.413639667429752,-111.72657690054756,-23.333666537689016,67.98734962781491,0.9998902972489259
7.2670579543596405,45.66027176525503,-16.128168092670112,-121.17546172504389,-25.90697541563945,59.87687782821092,0.9998898706062664
9.003814830529722,56.57263705175,-19.116902506916432,-129.67581024404234,-28.701895160501273,52.30860221786401,0.9998178197045838
11.155639876771923,70.09295256592004,-22.324676459728742,-137.0459435115499,-31.705433250751398,45.49032670234025,0.9997672740073461
13.821730389018025,86.84449330007564,-25.70902585198813,-143.0697064416368,-34.892289009153245,39.61150420925745,0.9999699568371843
17.124990861751012,107.59949096813864,-29.21351525300841,-147.79712545015875,-38.22719352244056,34.808130846768464,0.9992291584326862
21.2176987801808,133.31473322779422,-32.80155218570342,-151.22709858717178,-41.67656336838129,31.144191952557588,0.9971700865539441
26.288524482193758,165.17567077395066,-36.443898367731535,-153.34369649281265,-45.20923608981802,28.641819385394577,0.9795729258132073
32.57122869971347,204.65106560282575,-40.116020823627316,-154.43156230470765,-48.79670484122318,27.308937335275605,0.9461102254250281
40.35543872869771,253.56069968493952,-43.80414764881245,-154.28103723808303,-52.4203530055075,27.147942594869235,0.8322640654540623
49.99999999999999,314.15926535897927,-47.49719160172364,-152.93465903533817,-56.06180276044136,28.19173911810704,0.6770497792524974
