frequency_hz,frequency_rad,closed_loop_gain_db,closed_loop_phase_deg,sensitivity_gain_db,sensitivity_phase_deg,coherence
0.1,0.6283185307179586,0.022047102430129084,0.021168138456997197,-27.82424117751721,-98.1512588816414,0.999999999885554
0.12389903709420907,0.778480609444033,0.033738055273969246,0.016382339345034077,-25.963964833376853,-100.11555136534584,0.999999886959232
0.153509713928722,0.9645299790662876,0.051536820370977426,0.0015587311452889161,-24.104716916016542,-102.56365032650028,0.9999904080914374
0.19019705740376155,1.195043356548107,0.0785017093728633,-0.03373507397665988,-22.247653926936337,-105.62358944880818,0.9999979949826477
0.23565232270478065,1.4806472116214202,0.11902032321434194,-0.10963659720095352,-20.39536878749451,-109.46413885950335,1.0
0.2919709587213615,1.834507637961196,0.17905372044301154,-0.26456019913920015,-18.55373832658509,-114.31146546171428,1.0
0.3617492064504976,2.272937298853641,0.26578382528616723,-0.5703701277913942,-16.736087329836018,-120.47169961718797,1.0
0.4482037834881091,2.8161474270347875,0.3852878080219943,-1.1560278688809484,-14.972301746195875,-128.35305989808685,0.9999826679721702
0.5553201719615808,3.4891795452494456,0.5352241481957227,-2.231627787206727,-13.326868502685175,-138.457367451178,1.0
0.6880363458503046,4.323059859052166,0.6891736817682177,-4.0664583285346945,-11.926825649233336,-151.24849031765055,0.9999965272421816
0.8524704073667098,5.356229538371907,0.781133108882368,-6.812567123353704,-10.977572408239313,-166.74377450349792,0.9999814560725504
1.0562026262404351,6.636316822598395,0.7312639666764907,-10.181888320231277,-10.698900131949905,176.07760545762642,0.9999537534299516
1.308624883675647,8.22233264172042,0.530845363382318,-13.48709768929994,-11.161389352386859,159.19855572469933,0.9999929354553811
1.6213736300493404,10.187390969774446,0.2680869832624782,-16.321203013410155,-12.212653519405878,144.34527914635964,1.0
2.0088663153305575,12.622079316572952,0.03962745291404877,-18.90996369082336,-13.60918767815109,132.07944994194096,0.9999285167531939
2.4889660212044786,15.638634734501215,-0.10969244065418977,-21.788713757715815,-15.154625204416162,122.06142545145292,1.0
3.0838049338743967,19.376117850727525,-0.1748996723697126,-25.514084787410784,-16.72688504544511,113.59663795253728,1.0
3.8208046189340883,24.00682344329056,-0.16922234030507174,-30.65669310959699,-18.2560267991632,105.86895717725577,0.999930698135984
4.7339401321103995,29.74422308314385,-0.12509623933660097,-37.924777180308915,-19.712372961480916,97.91362060021267,0.9999732701203142
5.865306240301117,36.852805991168715,-0.1288278894620655,-48.27768954337486,-21.130942712517115,88.51439829636787,0.9999827357048822
7.2670579543596405,45.66027176525503,-0.40198571015612033,-62.75650332753294,-22.688891595729164,76.34989013301663,0.9999414009867564
9.003814830529722,56.57263705175,-1.3705514160415562,-81.36177064599092,-24.776519480860838,61.09382672626149,0.9999134137037673
11.155639876771923,70.09295256592004,-3.437697547381142,-101.31151552643124,-27.775107909970913,45.16058851410498,0.9998574081539587
13.821730389018025,86.84449330007564,-6.507427232658674,-118.46124110604507,-31.584725652344645,32.32017314261204,0.9998074125198929
17.124990861751012,107.59949096813864,-10.118926731554716,-131.03508846873277,-35.75831496606731,24.019445958999924,0.9992803314051041
21.2176987801808,133.31473322779422,-13.91806281269561,-139.5545089480214,-39.967940195499,19.494977161844627,0.9983569617357859
26.288524482193758,165.17567077395066,-17.748455870125206,-145.03037089960634,-44.08825039367713,17.59502831521954,0.9942242675634128
32.57122869971347,204.65106560282575,-21.560374874251345,-148.22443104840013,-48.099261143452345,17.50035046988918,0.9193023739256266
40.35543872869771,253.56069968493952,-25.341362083353786,-149.58993603299254,-52.015581788146285,18.761713169702773,0.5672312714912584
49.99999999999999,314.15926535897927,-29.49633567531282,-154.39923687877334,-55.85630068227672,21.184640104868183,0.4198474357444574
